cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
PALAIS DE JUSTICE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
ESCLANGON,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
CEMOI,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
VALLIER - CATANE,En vélo,1.3031918266,down,ALL,ALL,ALL,ligne-c5
RHIN ET DANUBE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
DOCTEUR SCHWEITZER,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
LYS ROUGE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
HENRI DUNANT,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
ALLIES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
MARCHE D'INTERET NATIONAL,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
STALINGRAD-ALLIES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
FLAUBERT - CLOS D'OR,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
MALHERBE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
LOUIS JOUVET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
TEISSEIRE (GRENOBLE),En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
PAUL COCAT,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
ANDRE ARGOUGES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
SAINT-AUGUSTIN,En vélo,2.1243165821,down,ALL,ALL,ALL,ligne-c5
BON PASTEUR,En vélo,1.8203608303,down,ALL,ALL,ALL,ligne-c5
EDOUARD VAILLANT,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
PIERRE SEMARD,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
NEYRPIC - BELLEDONNE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
CLINIQUE BELLEDONNE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
CHAMP ROMAN,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
PROMOTION SOCIALE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
SCIENCES SOCIALES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
BIBLIOTHEQUES UNIVERSITAIRES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
UNIVERSITES - BIOLOGIE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c5
PALAIS DE JUSTICE,Déposé en voiture,2.0373562542,down,ALL,ALL,ALL,ligne-c5
ESCLANGON,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,Déposé en voiture,4.0503186388,down,ALL,ALL,ALL,ligne-c5
CEMOI,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
VALLIER - CATANE,Déposé en voiture,4.5487242183,down,ALL,ALL,ALL,ligne-c5
RHIN ET DANUBE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
DOCTEUR SCHWEITZER,Déposé en voiture,2.7635426417,down,ALL,ALL,ALL,ligne-c5
LYS ROUGE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
HENRI DUNANT,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
ALLIES,Déposé en voiture,8.4048196001,down,ALL,ALL,ALL,ligne-c5
MARCHE D'INTERET NATIONAL,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
STALINGRAD-ALLIES,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
FLAUBERT - CLOS D'OR,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
MALHERBE,Déposé en voiture,1.7299173599,down,ALL,ALL,ALL,ligne-c5
LOUIS JOUVET,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
TEISSEIRE (GRENOBLE),Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
PAUL COCAT,Déposé en voiture,4.5542974312,down,ALL,ALL,ALL,ligne-c5
ANDRE ARGOUGES,Déposé en voiture,0.9377446777,down,ALL,ALL,ALL,ligne-c5
SAINT-AUGUSTIN,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
BON PASTEUR,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
EDOUARD VAILLANT,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
PIERRE SEMARD,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
NEYRPIC - BELLEDONNE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
CLINIQUE BELLEDONNE,Déposé en voiture,4.3687954568,down,ALL,ALL,ALL,ligne-c5
CHAMP ROMAN,Déposé en voiture,4.9277105844,down,ALL,ALL,ALL,ligne-c5
PROMOTION SOCIALE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
SCIENCES SOCIALES,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
BIBLIOTHEQUES UNIVERSITAIRES,Déposé en voiture,1.4409743644,down,ALL,ALL,ALL,ligne-c5
UNIVERSITES - BIOLOGIE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c5
PALAIS DE JUSTICE,En car Transisère,0.0,down,ALL,ALL,ALL,ligne-c5
ESCLANGON,En car Transisère,0.0,down,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,En car Transisère,0.0,down,ALL,ALL,ALL,ligne-c5
CEMOI,En car Transisère,0.0,down,ALL,ALL,ALL,ligne-c5
