cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
LYCEE DU GRESIVAUDAN,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LES MURIERS,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
HAUT - MEYLAN,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LA FOY,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
BUCLOS,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LES OISEAUX,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
EYGALA,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
MONTFLEURY,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CORENC MAIRIE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CROIX DE MONTFLEURY,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
GRANDE TRONCHE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
JULES REY,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
BASTILLE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
PETITE TRONCHE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
SAINT-LAURENT,En vélo,1.2615194118,down,ALL,ALL,ALL,ligne-16
XAVIER JOUVIN,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
NOTRE-DAME - MUSEE,En vélo,1.3113521591,down,ALL,ALL,ALL,ligne-16
HOTEL DE POLICE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
SAINT-ROCH,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
MUTUALITE,En vélo,1.2151282226,down,ALL,ALL,ALL,ligne-16
VERDUN - PREFECTURE,En vélo,2.5630487737000003,down,ALL,ALL,ALL,ligne-16
DOCTEUR MARTIN,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CHAMPOLLION,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CASERNE DE BONNE,En vélo,1.2057706987,down,ALL,ALL,ALL,ligne-16
GUSTAVE RIVET,En vélo,1.4774138277,down,ALL,ALL,ALL,ligne-16
RUE DES DEPORTES,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CAPUCHE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
EUGENE SUE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
CLOS D'OR,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
MASSENET,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
BEAUVERT,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
VERLAINE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LES ESSARTS,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
MONMOUSSEAU,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
GRUGLIASCO,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LES GLIERES,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
PAUL HEROULT,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
MARIE CURIE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
AUGUSTE DELAUNE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
AUGUSTE FERRIER,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
BAYARD,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
COLONEL MANHES,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
DANIELLE CASANOVA,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
VASSIEUX,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LA LUIRE,En vélo,0.0,down,ALL,ALL,ALL,ligne-16
LYCEE DU GRESIVAUDAN,Déposé en voiture,3.0407238081,down,ALL,ALL,ALL,ligne-16
