cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
VICTOR HUGO,En bus TAG,57.34606887219998,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,En bus TAG,15.149905739299998,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,En bus TAG,10.764840086,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,En bus TAG,2.7231517183,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,En bus TAG,22.973331615400003,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,En bus TAG,24.8798318527,down,ALL,ALL,ALL,ligne-c3
VIGNY,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,En bus TAG,37.2937256949,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,En bus TAG,164.85869029749995,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,En bus TAG,3.0087872727,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,En bus TAG,49.70391177879998,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,En bus TAG,4.0206556518,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,En bus TAG,1.4370327273,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),En bus TAG,17.5760063878,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,Mode non précisé,3.6315222497,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
VIGNY,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,Mode non précisé,4.7878186958,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,En voiture garée à proximité,2.0453746737,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,En voiture garée à proximité,2.173512,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,En voiture garée à proximité,2.951975864,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,En voiture garée à proximité,3.5254397151,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,En voiture garée à proximité,13.11329476,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,En voiture garée à proximité,3.0120452213,down,ALL,ALL,ALL,ligne-c3
VIGNY,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,En voiture garée à proximité,1.7561843496,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,En voiture garée à proximité,2.3037969703,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,En voiture garée à proximité,9.0712690909,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,En voiture garée à proximité,4.0871199408,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,En voiture garée à proximité,3.6695657142,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,Déposé en voiture,10.1755705514,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,Déposé en voiture,4.5077600861,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
VIGNY,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,Déposé en voiture,8.1966104985,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,Déposé en voiture,2.9013505753,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,Déposé en voiture,4.0871199408,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,En vélo,2.2647083077,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,En vélo,3.6315222497,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
VIGNY,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,En vélo,6.344298975600001,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,En vélo,0.0,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,A pied,624.5927846174003,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,A pied,798.068065905199,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,A pied,447.38697144000093,down,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,A pied,681.509435445501,down,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,A pied,708.3670319015013,down,ALL,ALL,ALL,ligne-c3
CAPUCHE,A pied,650.4378402831002,down,ALL,ALL,ALL,ligne-c3
EUGENE SUE,A pied,610.8281043127006,down,ALL,ALL,ALL,ligne-c3
CLOS D'OR,A pied,403.9018799110002,down,ALL,ALL,ALL,ligne-c3
VIGNY,A pied,597.0934699931995,down,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,A pied,716.2505103142988,down,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,A pied,530.3838186976993,down,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,A pied,551.543973769999,down,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,A pied,698.1965734803007,down,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,A pied,220.26124031960003,down,ALL,ALL,ALL,ligne-c3
ALPEXPO,A pied,112.83448508959992,down,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,A pied,386.6036263665994,down,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,A pied,171.95332249159992,down,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,A pied,162.75106908609996,down,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),A pied,196.41309707579998,down,ALL,ALL,ALL,ligne-c3
GUY MOQUET,A pied,120.10635421040003,down,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,A pied,83.61758614540003,down,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),A pied,66.86483625560001,down,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,A pied,82.7522437195,down,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,En voiture garée au parking relai,2.0453746737,down,ALL,ALL,ALL,ligne-c3
GAMBETTA,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-c3
