cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
ROSERAIE,A pied,9.0173911746,down,ALL,11H30-13H30,ALL,ligne-14
EDELWEISS,A pied,32.503961756699994,down,ALL,11H30-13H30,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),A pied,9.3946282328,down,ALL,11H30-13H30,ALL,ligne-14
VERDUN - PREFECTURE,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
BIR HAKEIM,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
FLANDRIN - VALMY,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
CROIX ROUGE,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
GAY,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
MAISON COMMUNALE,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
CITE LABEYE,En vélo,0.0,down,ALL,11H30-13H30,ALL,ligne-14
