cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
L'OVALIE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
LE GUA,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
TREFFORINE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
PRE FLEURY,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
LES PIES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
LA POYA,En voiture garée à proximité,1.762307027,down,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
RUE DES ALPES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
MARAT,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
LES ECRINS,En voiture garée à proximité,0.7575523675,down,ALL,ALL,ALL,ligne-19
JULES GUESDE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
RUE PASTEUR,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
MURAILLES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
BELVEDERE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,ligne-19
L'OVALIE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
LE GUA,En tram,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,En tram,0.0,down,ALL,ALL,ALL,ligne-19
TREFFORINE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
PRE FLEURY,En tram,0.0,down,ALL,ALL,ALL,ligne-19
LES PIES,En tram,0.0,down,ALL,ALL,ALL,ligne-19
LA POYA,En tram,199.63244429509984,down,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
RUE DES ALPES,En tram,0.0,down,ALL,ALL,ALL,ligne-19
MARAT,En tram,0.0,down,ALL,ALL,ALL,ligne-19
LES ECRINS,En tram,0.0,down,ALL,ALL,ALL,ligne-19
JULES GUESDE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,En tram,0.0,down,ALL,ALL,ALL,ligne-19
RUE PASTEUR,En tram,0.0,down,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,En tram,0.0,down,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,En tram,168.51914141039975,down,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,En tram,0.0,down,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
MURAILLES,En tram,0.0,down,ALL,ALL,ALL,ligne-19
BELVEDERE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,En tram,0.0,down,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),En tram,0.0,down,ALL,ALL,ALL,ligne-19
L'OVALIE,En bus TAG,1.274413508,down,ALL,ALL,ALL,ligne-19
LE GUA,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,En bus TAG,10.9263671428,down,ALL,ALL,ALL,ligne-19
TREFFORINE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
PRE FLEURY,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
LES PIES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
LA POYA,En bus TAG,5.8531589388,down,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
RUE DES ALPES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
MARAT,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
LES ECRINS,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
JULES GUESDE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
RUE PASTEUR,En bus TAG,7.7438409389,down,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,En bus TAG,3.2696771428,down,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,En bus TAG,22.3351296001,down,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,En bus TAG,1.7563733333,down,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
MURAILLES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
BELVEDERE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),En bus TAG,0.0,down,ALL,ALL,ALL,ligne-19
L'OVALIE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
LE GUA,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,Déposé en voiture,1.4270533333,down,ALL,ALL,ALL,ligne-19
TREFFORINE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
PRE FLEURY,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
LES PIES,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
LA POYA,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
RUE DES ALPES,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
MARAT,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
LES ECRINS,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
JULES GUESDE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
RUE PASTEUR,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-19
