cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
LES SAILLANTS,Déposé en voiture,1.6541108652,down,ALL,ALL,ALL,ligne-17
PONT DE GENEVREY,Déposé en voiture,6.191336723,down,ALL,ALL,ALL,ligne-17
L'USINE NORD,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
LE RIF,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
LA GRANGE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
LE CHALET,Déposé en voiture,1.6541108652,down,ALL,ALL,ALL,ligne-17
LA CIME DU BOURG,Déposé en voiture,1.6541108652,down,ALL,ALL,ALL,ligne-17
LA VALONNE,Déposé en voiture,3.884921632,down,ALL,ALL,ALL,ligne-17
LE MASSEGU,Déposé en voiture,1.6085097383,down,ALL,ALL,ALL,ligne-17
VIF GENDARMERIE,Déposé en voiture,10.5195418396,down,ALL,ALL,ALL,ligne-17
VIF MAIRIE,Déposé en voiture,11.832429154900002,down,ALL,ALL,ALL,ligne-17
URIOL,Déposé en voiture,1.6085097383,down,ALL,ALL,ALL,ligne-17
LES GARCINS,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
PELISSIERE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
REPUBLIQUE,Déposé en voiture,16.6209441914,down,ALL,ALL,ALL,ligne-17
L'ORIEL,Déposé en voiture,3.6617520348,down,ALL,ALL,ALL,ligne-17
ROND-POINT DE L'EUROPE,Déposé en voiture,3.6617520348,down,ALL,ALL,ALL,ligne-17
SAINT-ANGE,Déposé en voiture,1.2712253533,down,ALL,ALL,ALL,ligne-17
LE ROCHEFORT,Déposé en voiture,3.6617520348,down,ALL,ALL,ALL,ligne-17
PRE DE L'ORME,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
CARRIERE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-17
PONT ROUGE,Déposé en voiture,2.5282440024,down,ALL,ALL,ALL,ligne-17
POMPIDOU,Déposé en voiture,9.9953499107,down,ALL,ALL,ALL,ligne-17
