cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
COMBOIRE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
DRAC,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
MUSEE GEO CHARLES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
COLONEL MANHES,En bus TAG,21.523725641,down,ALL,ALL,ALL,ligne-11
BAYARD,En bus TAG,157.7503603405999,down,ALL,ALL,ALL,ligne-11
QUINZAINE,En bus TAG,282.5529401192,down,ALL,ALL,ALL,ligne-11
GRUGLIASCO,En bus TAG,25.364913358500004,down,ALL,ALL,ALL,ligne-11
FERNAND PELLOUTIER,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
LA RAMPE - CENTRE-VILLE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
ANTOINE POLOTTI,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
LE CHATEAU (ECHIROLLES),En bus TAG,3.9920424326,down,ALL,ALL,ALL,ligne-11
ECOLES HOSPITALIERES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
HOPITAL SUD,En bus TAG,11.779096116099998,down,ALL,ALL,ALL,ligne-11
FRANCOIS QUESNAY,En bus TAG,52.317521674199995,down,ALL,ALL,ALL,ligne-11
LES RUIRES-BOETIE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
ODYSSEE,En bus TAG,68.4632500562,down,ALL,ALL,ALL,ligne-11
CHAMP FILA,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
CENTRE SOCIO-CULTUREL,En bus TAG,29.776248482599996,down,ALL,ALL,ALL,ligne-11
LE CARINA,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
SAINT-MARTIN-D'HERES VILLAGE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
MAISONS BLANCHES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
CROIX DU PATRE,En bus TAG,10.096477395299999,down,ALL,ALL,ALL,ligne-11
POTIE,En bus TAG,11.1894261162,down,ALL,ALL,ALL,ligne-11
ETIENNE GRAPPE,En bus TAG,104.37458749839992,down,ALL,ALL,ALL,ligne-11
PABLO NERUDA,En bus TAG,2.3275220339,down,ALL,ALL,ALL,ligne-11
HENRI WALLON,En bus TAG,17.279351635999998,down,ALL,ALL,ALL,ligne-11
ROCHEPLANE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
PIERRE COURTADE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
COLI,En bus TAG,31.2325924183,down,ALL,ALL,ALL,ligne-11
CHAMP ROMAN,En bus TAG,129.4091447911,down,ALL,ALL,ALL,ligne-11
PROMOTION SOCIALE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
SCIENCES SOCIALES,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
BIBLIOTHEQUES UNIVERSITAIRES,En bus TAG,9.0766886788,down,ALL,ALL,ALL,ligne-11
UNIVERSITES - BIOLOGIE,En bus TAG,3.81455,down,ALL,ALL,ALL,ligne-11
EPICEA,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
UNIVERSITES - IUT - UFRAPS,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-11
