cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
SEYSSINET-PARISET HOTEL DE VILLE,En tram,339.76931475059865,down,ALL,ALL,ALL,ligne-20
LES ILES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
BERGES - VERCORS,En tram,0.0,down,ALL,ALL,ALL,ligne-20
KARL MARX,En tram,0.0,down,ALL,ALL,ALL,ligne-20
JEAN PREVOST,En tram,0.0,down,ALL,ALL,ALL,ligne-20
ANCIENNE MAIRIE (FONTAINE),En tram,0.0,down,ALL,ALL,ALL,ligne-20
LA POYA,En tram,368.0089581263995,down,ALL,ALL,ALL,ligne-20
LES PIES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
PRE FLEURY,En tram,0.0,down,ALL,ALL,ALL,ligne-20
TREFFORINE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
PLACE DE LA LIBERATION,En tram,0.0,down,ALL,ALL,ALL,ligne-20
CHATEAU,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LA ROLLANDIERE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LES ENGENIERES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
PRAPARIS USINE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
PRAPARIS - LES ROSES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LES CHAULNES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
SAINT-JEAN,En tram,0.0,down,ALL,ALL,ALL,ligne-20
BASCULE (NOYAREY),En tram,0.0,down,ALL,ALL,ALL,ligne-20
LE RUISSET,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LA CUCHE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
ILES CORDEES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
PERRIERES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LES ECHALIERES,En tram,0.0,down,ALL,ALL,ALL,ligne-20
LA RIVE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
EGLISE (VEUREY-VOROIZE),En tram,0.0,down,ALL,ALL,ALL,ligne-20
VEUREY-VOROIZE MAIRIE,En tram,0.0,down,ALL,ALL,ALL,ligne-20
SEYSSINET-PARISET HOTEL DE VILLE,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
LES ILES,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
BERGES - VERCORS,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
KARL MARX,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
JEAN PREVOST,Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
ANCIENNE MAIRIE (FONTAINE),Mode non précisé,0.0,down,ALL,ALL,ALL,ligne-20
