cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
MAUPERTUIS (MEYLAN),Déposé en voiture,15.205018135,down,ALL,ALL,ALL,ligne-c1
LES BEALIERES,Déposé en voiture,7.6117948468,down,ALL,ALL,ALL,ligne-c1
MALACHER,Déposé en voiture,1.9029487117,down,ALL,ALL,ALL,ligne-c1
GRANIER,Déposé en voiture,1.9029487117,down,ALL,ALL,ALL,ligne-c1
MEYLAN MAIRIE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
PISCINE DES BUCLOS,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
LE BRET,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
LA REVIREE,Déposé en voiture,2.8030393333,down,ALL,ALL,ALL,ligne-c1
AIGUINARDS-HEXAGONE,Déposé en voiture,6.8165047122,down,ALL,ALL,ALL,ligne-c1
PLAINE FLEURIE,Déposé en voiture,29.220593203500005,down,ALL,ALL,ALL,ligne-c1
CARRONNERIE - ILE D'AMOUR,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
SABLONS,Déposé en voiture,2.6855466667,down,ALL,ALL,ALL,ligne-c1
HOTEL DE VILLE (GRENOBLE),Déposé en voiture,9.1528036868,down,ALL,ALL,ALL,ligne-c1
CHAVANT,Déposé en voiture,7.515035457100001,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MARTIN,Déposé en voiture,4.3127666796,down,ALL,ALL,ALL,ligne-c1
VICTOR HUGO,Déposé en voiture,7.2826387412999996,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MAZET,Déposé en voiture,2.3351155772,down,ALL,ALL,ALL,ligne-c1
FELIX VIALLET,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
GARES,Déposé en voiture,1.423834881,down,ALL,ALL,ALL,ligne-c1
EMILE GUEYMARD,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
ARAGO,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
CITE JEAN MACE,Déposé en voiture,0.0,down,ALL,ALL,ALL,ligne-c1
MAUPERTUIS (MEYLAN),En vélo,9.0906329029,down,ALL,ALL,ALL,ligne-c1
LES BEALIERES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
MALACHER,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
GRANIER,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
MEYLAN MAIRIE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
PISCINE DES BUCLOS,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
LE BRET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
LA REVIREE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
AIGUINARDS-HEXAGONE,En vélo,4.3794873294,down,ALL,ALL,ALL,ligne-c1
PLAINE FLEURIE,En vélo,6.2918077788,down,ALL,ALL,ALL,ligne-c1
CARRONNERIE - ILE D'AMOUR,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
SABLONS,En vélo,7.0399930835,down,ALL,ALL,ALL,ligne-c1
HOTEL DE VILLE (GRENOBLE),En vélo,3.0807998147999998,down,ALL,ALL,ALL,ligne-c1
CHAVANT,En vélo,15.269321389599998,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MARTIN,En vélo,2.0658051282,down,ALL,ALL,ALL,ligne-c1
VICTOR HUGO,En vélo,3.5180863554000004,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MAZET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
FELIX VIALLET,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
GARES,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
EMILE GUEYMARD,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
ARAGO,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
CITE JEAN MACE,En vélo,0.0,down,ALL,ALL,ALL,ligne-c1
MAUPERTUIS (MEYLAN),A pied,539.1622974978002,down,ALL,ALL,ALL,ligne-c1
LES BEALIERES,A pied,415.5074195974999,down,ALL,ALL,ALL,ligne-c1
MALACHER,A pied,510.37730795540017,down,ALL,ALL,ALL,ligne-c1
GRANIER,A pied,210.2479194651001,down,ALL,ALL,ALL,ligne-c1
MEYLAN MAIRIE,A pied,316.00544901660004,down,ALL,ALL,ALL,ligne-c1
PISCINE DES BUCLOS,A pied,303.00142961780006,down,ALL,ALL,ALL,ligne-c1
LE BRET,A pied,363.22316027180005,down,ALL,ALL,ALL,ligne-c1
LA REVIREE,A pied,299.4906460697003,down,ALL,ALL,ALL,ligne-c1
AIGUINARDS-HEXAGONE,A pied,456.7743986714998,down,ALL,ALL,ALL,ligne-c1
PLAINE FLEURIE,A pied,526.4608848759996,down,ALL,ALL,ALL,ligne-c1
CARRONNERIE - ILE D'AMOUR,A pied,107.43225672309998,down,ALL,ALL,ALL,ligne-c1
SABLONS,A pied,152.02430052550002,down,ALL,ALL,ALL,ligne-c1
HOTEL DE VILLE (GRENOBLE),A pied,293.9688843533003,down,ALL,ALL,ALL,ligne-c1
CHAVANT,A pied,622.8575884973011,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MARTIN,A pied,248.5822810252999,down,ALL,ALL,ALL,ligne-c1
VICTOR HUGO,A pied,731.3308283742019,down,ALL,ALL,ALL,ligne-c1
DOCTEUR MAZET,A pied,149.23562651129998,down,ALL,ALL,ALL,ligne-c1
FELIX VIALLET,A pied,245.36038637069996,down,ALL,ALL,ALL,ligne-c1
GARES,A pied,406.47296900500015,down,ALL,ALL,ALL,ligne-c1
EMILE GUEYMARD,A pied,118.38183911360002,down,ALL,ALL,ALL,ligne-c1
ARAGO,A pied,337.54184210070014,down,ALL,ALL,ALL,ligne-c1
CITE JEAN MACE,A pied,385.6783952869006,down,ALL,ALL,ALL,ligne-c1
MAUPERTUIS (MEYLAN),En voiture garée au parking relai,3.6149847117,down,ALL,ALL,ALL,ligne-c1
