cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
BIBLIOTHEQUES UNIVERSITAIRES,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,Mode non précisé,3.8495524708,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,Mode non précisé,3.1233453611,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),Mode non précisé,7.9276046248,down,ALL,ALL,ALL,tram-c
CHAVANT,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,Mode non précisé,2.0792888232,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,Mode non précisé,3.0435671185,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,Mode non précisé,7.4970675012,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,Mode non précisé,3.4910387209,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
GRAND PRE,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
LE PRISME,Mode non précisé,0.0,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En voiture garée à proximité,16.1880269165,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En voiture garée à proximité,1.2420753419,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En voiture garée à proximité,11.3874741251,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En voiture garée à proximité,74.67959683990001,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En voiture garée à proximité,41.7229543277,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En voiture garée à proximité,15.188501592599998,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-c
CHAVANT,En voiture garée à proximité,23.3584807093,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,En voiture garée à proximité,0.0,down,ALL,ALL,ALL,tram-c
