cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
PREMOL,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
CENTRE SOCIO-CULTUREL,En bus TAG,38.90341859100001,down,ALL,ALL,ALL,ligne-13
ROBESPIERRE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
BEL AIR (EYBENS),En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LE MARAIS,En bus TAG,31.074824786699985,down,ALL,ALL,ALL,ligne-13
PAUL ELUARD,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
PIERRE LOTI,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LEON JOUHAUX,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
PAUL COCAT,En bus TAG,20.294642924399998,down,ALL,ALL,ALL,ligne-13
ANDRE ARGOUGES,En bus TAG,15.643006171200003,down,ALL,ALL,ALL,ligne-13
LES BAINS,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
EDISON,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
CLEMENCEAU,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
AUGUSTE RAVIER,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
DRIANT,En bus TAG,5.191661438900001,down,ALL,ALL,ALL,ligne-13
CHAVANT,En bus TAG,78.95980049010005,down,ALL,ALL,ALL,ligne-13
DOCTEUR MARTIN,En bus TAG,28.72528460879999,down,ALL,ALL,ALL,ligne-13
VERDUN - PREFECTURE,En bus TAG,68.27574817190005,down,ALL,ALL,ALL,ligne-13
MUTUALITE,En bus TAG,2.3427356862,down,ALL,ALL,ALL,ligne-13
SAINT-ROCH,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
CIMETIERE DU GRAND SABLON,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
HOPITAL MICHALLON,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LA TRONCHE HOPITAL,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
COMMANDANT NAL,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
MUSEE HEBERT,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
CENTRE THEOLOGIQUE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LE CEDRE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
JULES FLANDRIN,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
GRESIVAUDAN,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
PLACE DE LA LOUISIANE,En bus TAG,1.4150267124,down,ALL,ALL,ALL,ligne-13
AIGUINARDS-HEXAGONE,En bus TAG,10.9042528025,down,ALL,ALL,ALL,ligne-13
LA REVIREE,En bus TAG,58.162522149999994,down,ALL,ALL,ALL,ligne-13
FACULTE DE PHARMACIE,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LYCEE DU GRESIVAUDAN - BACHAIS,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
LYCEE DU GRESIVAUDAN,En bus TAG,0.0,down,ALL,ALL,ALL,ligne-13
PREMOL,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-13
CENTRE SOCIO-CULTUREL,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-13
ROBESPIERRE,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-13
BEL AIR (EYBENS),En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-13
LE MARAIS,En voiture garée au parking relai,0.0,down,ALL,ALL,ALL,ligne-13
