up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
MICHALLON,SAINT-BRUNO (TRAM),157.70787668080007,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,SAINT-BRUNO (TRAM),177.47892472919997,ALL,ALL,ALL,tram-b
ILE VERTE,SAINT-BRUNO (TRAM),373.8704432405001,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,SAINT-BRUNO (TRAM),328.6235084589997,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,SAINT-BRUNO (TRAM),176.31907696220014,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,SAINT-BRUNO (TRAM),270.98028553740016,ALL,ALL,ALL,tram-b
VICTOR HUGO,SAINT-BRUNO (TRAM),400.47408554780026,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,SAINT-BRUNO (TRAM),332.42580645270016,ALL,ALL,ALL,tram-b
GARES,SAINT-BRUNO (TRAM),117.4689200322,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,SAINT-BRUNO (TRAM),237.59437810450004,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,SAINT-BRUNO (TRAM),305.73002811580017,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,SAINT-BRUNO (TRAM),191.29917258350014,ALL,ALL,ALL,tram-b
PRESQU'ILE,SAINT-BRUNO (TRAM),232.96622572030037,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,GARES,25.491483421,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),GARES,75.7429833972,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,GARES,44.738016685000005,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,GARES,149.42214513659997,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,GARES,442.4997214834995,ALL,ALL,ALL,tram-b
GABRIEL FAURE,GARES,301.2928741897998,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,GARES,350.02841363149963,ALL,ALL,ALL,tram-b
GRAND SABLON,GARES,236.90776242489997,ALL,ALL,ALL,tram-b
MICHALLON,GARES,403.82692124199997,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,GARES,171.24694969119997,ALL,ALL,ALL,tram-b
ILE VERTE,GARES,273.4354217605999,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,GARES,526.4825149647006,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,GARES,181.14426010310007,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,GARES,220.22430791340005,ALL,ALL,ALL,tram-b
VICTOR HUGO,GARES,426.96434655200034,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,GARES,192.95087940199997,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),GARES,87.41384170239999,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,GARES,54.4205976019,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,GARES,113.34964720759997,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,GARES,192.1139205128002,ALL,ALL,ALL,tram-b
PRESQU'ILE,GARES,203.58884633800028,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,MAYENCIN - CHAMP ROMAN,7.8332889854,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),MAYENCIN - CHAMP ROMAN,25.206565435700004,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,MAYENCIN - CHAMP ROMAN,42.7915808395,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,MAYENCIN - CHAMP ROMAN,68.91530156549997,ALL,ALL,ALL,tram-b
GABRIEL FAURE,MAYENCIN - CHAMP ROMAN,63.177944526000005,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,MAYENCIN - CHAMP ROMAN,12.841879058,ALL,ALL,ALL,tram-b
GRAND SABLON,MAYENCIN - CHAMP ROMAN,27.9402872736,ALL,ALL,ALL,tram-b
MICHALLON,MAYENCIN - CHAMP ROMAN,27.211275944599997,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,MAYENCIN - CHAMP ROMAN,44.18642115700001,ALL,ALL,ALL,tram-b
ILE VERTE,MAYENCIN - CHAMP ROMAN,19.8082747723,ALL,ALL,ALL,tram-b
