up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
VALLIER - CATANE,MAS DES ILES,94.48693120800002,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,MAS DES ILES,105.82384760919997,ALL,ALL,ALL,tram-c
FAUCONNIERE,MAS DES ILES,52.19594174129999,ALL,ALL,ALL,tram-c
GRAND PRE,MAS DES ILES,20.1818964318,ALL,ALL,ALL,tram-c
LE PRISME,MAS DES ILES,81.88243568100003,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,LE PRISME,26.046083649800003,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,LE PRISME,54.679947399999996,ALL,ALL,ALL,tram-c
GABRIEL FAURE,LE PRISME,62.78243142750001,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,LE PRISME,29.7292315529,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,LE PRISME,59.46202888459999,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,LE PRISME,0.0,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,LE PRISME,38.6785889835,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),LE PRISME,273.11700057980005,ALL,ALL,ALL,tram-c
CHAVANT,LE PRISME,579.7277072027001,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,LE PRISME,169.83844195220001,ALL,ALL,ALL,tram-c
FOCH - FERRIE,LE PRISME,197.9619507064,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,LE PRISME,350.77774087260025,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,LE PRISME,121.54163773700002,ALL,ALL,ALL,tram-c
VALLIER - CATANE,LE PRISME,121.8956563154,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,LE PRISME,207.59716818470005,ALL,ALL,ALL,tram-c
FAUCONNIERE,LE PRISME,126.03061588459997,ALL,ALL,ALL,tram-c
GRAND PRE,LE PRISME,35.2594857417,ALL,ALL,ALL,tram-c
MAS DES ILES,LE PRISME,122.41269892429997,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,VALLIER - LIBERATION,225.87885748670004,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,VALLIER - LIBERATION,451.9940784962,ALL,ALL,ALL,tram-c
GABRIEL FAURE,VALLIER - LIBERATION,320.74705948469943,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,VALLIER - LIBERATION,56.32520256590001,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,VALLIER - LIBERATION,234.4334454611,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,VALLIER - LIBERATION,135.8846228029,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,VALLIER - LIBERATION,204.38749533049995,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),VALLIER - LIBERATION,224.27880655809997,ALL,ALL,ALL,tram-c
CHAVANT,VALLIER - LIBERATION,558.8956194588001,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,VALLIER - LIBERATION,245.85951312449993,ALL,ALL,ALL,tram-c
FOCH - FERRIE,VALLIER - LIBERATION,189.645752619,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,VALLIER - LIBERATION,88.64307264599998,ALL,ALL,ALL,tram-c
VALLIER - CATANE,VALLIER - LIBERATION,287.95761613469995,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,VALLIER - LIBERATION,228.7653731201999,ALL,ALL,ALL,tram-c
FAUCONNIERE,VALLIER - LIBERATION,171.74564823269995,ALL,ALL,ALL,tram-c
GRAND PRE,VALLIER - LIBERATION,74.25246676350004,ALL,ALL,ALL,tram-c
MAS DES ILES,VALLIER - LIBERATION,82.10365595540003,ALL,ALL,ALL,tram-c
LE PRISME,VALLIER - LIBERATION,152.82796841360002,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,FAUCONNIERE,17.6596574212,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,FAUCONNIERE,50.40602479089999,ALL,ALL,ALL,tram-c
GABRIEL FAURE,FAUCONNIERE,43.5928207571,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,FAUCONNIERE,25.010354642499998,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,FAUCONNIERE,32.4102247751,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,FAUCONNIERE,0.0,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,FAUCONNIERE,58.1829945807,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),FAUCONNIERE,62.786571539,ALL,ALL,ALL,tram-c
CHAVANT,FAUCONNIERE,249.38057562490008,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,FAUCONNIERE,89.65953229330002,ALL,ALL,ALL,tram-c
FOCH - FERRIE,FAUCONNIERE,151.10964638790003,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,FAUCONNIERE,297.4102427404002,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,FAUCONNIERE,58.382496077700004,ALL,ALL,ALL,tram-c
VALLIER - CATANE,FAUCONNIERE,93.81118434660002,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,FAUCONNIERE,122.2310019413,ALL,ALL,ALL,tram-c
GRAND PRE,FAUCONNIERE,13.098896093800002,ALL,ALL,ALL,tram-c
MAS DES ILES,FAUCONNIERE,27.934326812099997,ALL,ALL,ALL,tram-c
LE PRISME,FAUCONNIERE,79.98573033920003,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,HOTEL DE VILLE (GRENOBLE),85.60876806029998,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,HOTEL DE VILLE (GRENOBLE),135.59578336490006,ALL,ALL,ALL,tram-c
GABRIEL FAURE,HOTEL DE VILLE (GRENOBLE),132.2346451076,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,HOTEL DE VILLE (GRENOBLE),60.407651072600004,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,HOTEL DE VILLE (GRENOBLE),93.44199132720001,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,HOTEL DE VILLE (GRENOBLE),65.49256981319999,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,HOTEL DE VILLE (GRENOBLE),84.65631763929998,ALL,ALL,ALL,tram-c
CHAVANT,HOTEL DE VILLE (GRENOBLE),85.77567522930002,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,HOTEL DE VILLE (GRENOBLE),45.4690428132,ALL,ALL,ALL,tram-c
FOCH - FERRIE,HOTEL DE VILLE (GRENOBLE),280.1499955165998,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,HOTEL DE VILLE (GRENOBLE),280.80724023119984,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,HOTEL DE VILLE (GRENOBLE),116.54685337899997,ALL,ALL,ALL,tram-c
VALLIER - CATANE,HOTEL DE VILLE (GRENOBLE),80.61539698739998,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,HOTEL DE VILLE (GRENOBLE),114.74152215599999,ALL,ALL,ALL,tram-c
FAUCONNIERE,HOTEL DE VILLE (GRENOBLE),45.3987569812,ALL,ALL,ALL,tram-c
GRAND PRE,HOTEL DE VILLE (GRENOBLE),35.0760063313,ALL,ALL,ALL,tram-c
MAS DES ILES,HOTEL DE VILLE (GRENOBLE),20.1389541069,ALL,ALL,ALL,tram-c
LE PRISME,HOTEL DE VILLE (GRENOBLE),116.0887196907,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,FOCH - FERRIE,153.3654561698,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,FOCH - FERRIE,399.733034175,ALL,ALL,ALL,tram-c
GABRIEL FAURE,FOCH - FERRIE,351.81401602179966,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,FOCH - FERRIE,107.03207816289999,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,FOCH - FERRIE,176.94859312099996,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,FOCH - FERRIE,95.86160541840002,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,FOCH - FERRIE,212.18445574419997,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),FOCH - FERRIE,160.23397135279998,ALL,ALL,ALL,tram-c
CHAVANT,FOCH - FERRIE,475.0558879051998,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,FOCH - FERRIE,45.466138868,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,FOCH - FERRIE,283.6375821438998,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,FOCH - FERRIE,165.65093422649994,ALL,ALL,ALL,tram-c
VALLIER - CATANE,FOCH - FERRIE,198.04264367449989,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,FOCH - FERRIE,199.6822204967,ALL,ALL,ALL,tram-c
FAUCONNIERE,FOCH - FERRIE,62.14540729090001,ALL,ALL,ALL,tram-c
GRAND PRE,FOCH - FERRIE,42.1186974949,ALL,ALL,ALL,tram-c
MAS DES ILES,FOCH - FERRIE,52.00659679840001,ALL,ALL,ALL,tram-c
LE PRISME,FOCH - FERRIE,100.35125967340002,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,HECTOR BERLIOZ - UNIVERSITES,121.90412236839997,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,HECTOR BERLIOZ - UNIVERSITES,175.8220489439001,ALL,ALL,ALL,tram-c
GABRIEL FAURE,HECTOR BERLIOZ - UNIVERSITES,74.5741191306,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,HECTOR BERLIOZ - UNIVERSITES,141.28881116440004,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,HECTOR BERLIOZ - UNIVERSITES,48.5658512857,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,HECTOR BERLIOZ - UNIVERSITES,165.7485636425,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),HECTOR BERLIOZ - UNIVERSITES,37.43414259699999,ALL,ALL,ALL,tram-c
CHAVANT,HECTOR BERLIOZ - UNIVERSITES,317.4800893155001,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,HECTOR BERLIOZ - UNIVERSITES,69.0180606798,ALL,ALL,ALL,tram-c
FOCH - FERRIE,HECTOR BERLIOZ - UNIVERSITES,137.1315898245,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,HECTOR BERLIOZ - UNIVERSITES,125.50238212459995,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,HECTOR BERLIOZ - UNIVERSITES,66.3381726068,ALL,ALL,ALL,tram-c
VALLIER - CATANE,HECTOR BERLIOZ - UNIVERSITES,32.301007204099996,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,HECTOR BERLIOZ - UNIVERSITES,24.759632816000003,ALL,ALL,ALL,tram-c
FAUCONNIERE,HECTOR BERLIOZ - UNIVERSITES,16.9921062492,ALL,ALL,ALL,tram-c
GRAND PRE,HECTOR BERLIOZ - UNIVERSITES,17.3283865585,ALL,ALL,ALL,tram-c
MAS DES ILES,HECTOR BERLIOZ - UNIVERSITES,1.2697760475,ALL,ALL,ALL,tram-c
LE PRISME,HECTOR BERLIOZ - UNIVERSITES,12.023936054,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,VALLIER - CATANE,60.065491738899986,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,VALLIER - CATANE,241.0438012240001,ALL,ALL,ALL,tram-c
GABRIEL FAURE,VALLIER - CATANE,191.44497657470004,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,VALLIER - CATANE,51.4717844211,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,VALLIER - CATANE,94.53686571579999,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,VALLIER - CATANE,43.239101697600006,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,VALLIER - CATANE,67.31599326540001,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),VALLIER - CATANE,133.48690193,ALL,ALL,ALL,tram-c
CHAVANT,VALLIER - CATANE,675.2278044587007,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,VALLIER - CATANE,274.6564307727,ALL,ALL,ALL,tram-c
FOCH - FERRIE,VALLIER - CATANE,317.41051106489977,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,VALLIER - CATANE,522.0769062355001,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,VALLIER - CATANE,34.3880769462,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,VALLIER - CATANE,87.08666479819999,ALL,ALL,ALL,tram-c
FAUCONNIERE,VALLIER - CATANE,93.5260309265,ALL,ALL,ALL,tram-c
GRAND PRE,VALLIER - CATANE,28.7352161623,ALL,ALL,ALL,tram-c
MAS DES ILES,VALLIER - CATANE,30.185523170599996,ALL,ALL,ALL,tram-c
LE PRISME,VALLIER - CATANE,79.56716185460002,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,NEYRPIC - BELLEDONNE,275.38409671370005,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,NEYRPIC - BELLEDONNE,283.0731514241001,ALL,ALL,ALL,tram-c
GABRIEL FAURE,NEYRPIC - BELLEDONNE,212.33141719410006,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,NEYRPIC - BELLEDONNE,103.45745085229997,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,NEYRPIC - BELLEDONNE,31.790098337000003,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,NEYRPIC - BELLEDONNE,176.80465999600005,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),NEYRPIC - BELLEDONNE,123.33246225940002,ALL,ALL,ALL,tram-c
CHAVANT,NEYRPIC - BELLEDONNE,509.7514663134,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,NEYRPIC - BELLEDONNE,176.09124674299994,ALL,ALL,ALL,tram-c
FOCH - FERRIE,NEYRPIC - BELLEDONNE,263.88617897209997,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,NEYRPIC - BELLEDONNE,286.88102836999974,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,NEYRPIC - BELLEDONNE,104.50362557609996,ALL,ALL,ALL,tram-c
VALLIER - CATANE,NEYRPIC - BELLEDONNE,83.75846860019998,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,NEYRPIC - BELLEDONNE,70.375196376,ALL,ALL,ALL,tram-c
FAUCONNIERE,NEYRPIC - BELLEDONNE,32.831686629900005,ALL,ALL,ALL,tram-c
GRAND PRE,NEYRPIC - BELLEDONNE,1.9605117732,ALL,ALL,ALL,tram-c
MAS DES ILES,NEYRPIC - BELLEDONNE,11.6200506753,ALL,ALL,ALL,tram-c
LE PRISME,NEYRPIC - BELLEDONNE,20.300321293,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,CHAVANT,438.176179979201,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,CHAVANT,719.1246925086015,ALL,ALL,ALL,tram-c
GABRIEL FAURE,CHAVANT,446.52971632329934,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,CHAVANT,316.73787509239975,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,CHAVANT,650.0521493584006,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,CHAVANT,376.14644644479984,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,CHAVANT,797.075113590799,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),CHAVANT,74.19373528349999,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,CHAVANT,132.19269695200006,ALL,ALL,ALL,tram-c
FOCH - FERRIE,CHAVANT,747.1986276186,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,CHAVANT,1005.8030947252037,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,CHAVANT,598.5409241254998,ALL,ALL,ALL,tram-c
VALLIER - CATANE,CHAVANT,540.3199830489,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,CHAVANT,374.1726519953004,ALL,ALL,ALL,tram-c
FAUCONNIERE,CHAVANT,272.8434205568999,ALL,ALL,ALL,tram-c
GRAND PRE,CHAVANT,134.96365270310002,ALL,ALL,ALL,tram-c
MAS DES ILES,CHAVANT,95.97410844609999,ALL,ALL,ALL,tram-c
LE PRISME,CHAVANT,289.6364780560999,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,GRAND PRE,11.2788150676,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,GRAND PRE,31.765237926899996,ALL,ALL,ALL,tram-c
GABRIEL FAURE,GRAND PRE,22.6616640331,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,GRAND PRE,10.5834594055,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,GRAND PRE,25.0769231307,ALL,ALL,ALL,tram-c
