up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
TREFFORINE,LES PIES,0.0,ALL,ALL,ALL,ligne-19
PRE FLEURY,LES PIES,1.274413508,ALL,ALL,ALL,ligne-19
LA POYA,LES PIES,4.9884416113,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,LES PIES,5.6551541217,ALL,ALL,ALL,ligne-19
RUE DES ALPES,LES PIES,5.8113781088,ALL,ALL,ALL,ligne-19
MARAT,LES PIES,7.433984634,ALL,ALL,ALL,ligne-19
LES ECRINS,LES PIES,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,LES PIES,1.7906775,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,LES PIES,2.5482298675,ALL,ALL,ALL,ligne-19
RUE PASTEUR,LES PIES,6.33987547,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,LES PIES,0.0,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,LES PIES,2.5305498645,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,LES PIES,1.6115085246,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,LES PIES,2.9258815384,ALL,ALL,ALL,ligne-19
MURAILLES,LES PIES,0.0,ALL,ALL,ALL,ligne-19
BELVEDERE,LES PIES,8.7776446154,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,LES PIES,0.0,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),LES PIES,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,RUE DES ALPES,1.4270533333,ALL,ALL,ALL,ligne-19
LE GUA,RUE DES ALPES,1.274413508,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
TREFFORINE,RUE DES ALPES,1.274413508,ALL,ALL,ALL,ligne-19
PRE FLEURY,RUE DES ALPES,1.8619246154,ALL,ALL,ALL,ligne-19
LES PIES,RUE DES ALPES,2.2009299681,ALL,ALL,ALL,ligne-19
LA POYA,RUE DES ALPES,23.531497438499997,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,RUE DES ALPES,0.98796,ALL,ALL,ALL,ligne-19
MARAT,RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
LES ECRINS,RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,RUE DES ALPES,97.26556257360001,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,RUE DES ALPES,35.2637915029,ALL,ALL,ALL,ligne-19
