up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
EDOUARD VAILLANT,PARC JO BLANCHON,0.0,S2,ALL,ALL,tram-d
MAISON COMMUNALE,PARC JO BLANCHON,0.0,S2,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,PARC JO BLANCHON,0.0,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,PARC JO BLANCHON,0.0,S2,ALL,ALL,tram-d
ETIENNE GRAPPE,EDOUARD VAILLANT,168.43060478149974,S2,ALL,ALL,tram-d
PARC JO BLANCHON,EDOUARD VAILLANT,14.560615263700003,S2,ALL,ALL,tram-d
MAISON COMMUNALE,EDOUARD VAILLANT,0.0,S2,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,EDOUARD VAILLANT,0.0,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,EDOUARD VAILLANT,0.0,S2,ALL,ALL,tram-d
PARC JO BLANCHON,ETIENNE GRAPPE,0.0,S2,ALL,ALL,tram-d
EDOUARD VAILLANT,ETIENNE GRAPPE,0.0,S2,ALL,ALL,tram-d
MAISON COMMUNALE,ETIENNE GRAPPE,0.0,S2,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,ETIENNE GRAPPE,0.0,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,ETIENNE GRAPPE,0.0,S2,ALL,ALL,tram-d
ETIENNE GRAPPE,LES TAILLEES - UNIVERSITES,351.721492712399,S2,ALL,ALL,tram-d
PARC JO BLANCHON,LES TAILLEES - UNIVERSITES,208.86761315959998,S2,ALL,ALL,tram-d
EDOUARD VAILLANT,LES TAILLEES - UNIVERSITES,335.7738161557983,S2,ALL,ALL,tram-d
MAISON COMMUNALE,LES TAILLEES - UNIVERSITES,193.63582771120014,S2,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,LES TAILLEES - UNIVERSITES,339.64632203730093,S2,ALL,ALL,tram-d
ETIENNE GRAPPE,NEYRPIC - BELLEDONNE,336.5074316903992,S2,ALL,ALL,tram-d
PARC JO BLANCHON,NEYRPIC - BELLEDONNE,161.04931039980002,S2,ALL,ALL,tram-d
EDOUARD VAILLANT,NEYRPIC - BELLEDONNE,134.84452546079996,S2,ALL,ALL,tram-d
MAISON COMMUNALE,NEYRPIC - BELLEDONNE,58.5871821439,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,NEYRPIC - BELLEDONNE,0.0,S2,ALL,ALL,tram-d
ETIENNE GRAPPE,MAISON COMMUNALE,183.79945488149966,S2,ALL,ALL,tram-d
PARC JO BLANCHON,MAISON COMMUNALE,63.499527659299986,S2,ALL,ALL,tram-d
EDOUARD VAILLANT,MAISON COMMUNALE,53.86930522009999,S2,ALL,ALL,tram-d
NEYRPIC - BELLEDONNE,MAISON COMMUNALE,0.0,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,MAISON COMMUNALE,0.0,S2,ALL,ALL,tram-d
LES TAILLEES - UNIVERSITES,PARC JO BLANCHON,0.0,ALL,02H00-06H45,ALL,tram-d
NEYRPIC - BELLEDONNE,PARC JO BLANCHON,0.9950990049,ALL,02H00-06H45,ALL,tram-d
MAISON COMMUNALE,PARC JO BLANCHON,0.0,ALL,02H00-06H45,ALL,tram-d
EDOUARD VAILLANT,PARC JO BLANCHON,4.4779455221,ALL,02H00-06H45,ALL,tram-d
ETIENNE GRAPPE,PARC JO BLANCHON,0.0,ALL,02H00-06H45,ALL,tram-d
LES TAILLEES - UNIVERSITES,EDOUARD VAILLANT,0.0,ALL,02H00-06H45,ALL,tram-d
NEYRPIC - BELLEDONNE,EDOUARD VAILLANT,0.9950990049,ALL,02H00-06H45,ALL,tram-d
MAISON COMMUNALE,EDOUARD VAILLANT,0.0,ALL,02H00-06H45,ALL,tram-d
PARC JO BLANCHON,EDOUARD VAILLANT,0.0,ALL,02H00-06H45,ALL,tram-d
ETIENNE GRAPPE,EDOUARD VAILLANT,0.0,ALL,02H00-06H45,ALL,tram-d
LES TAILLEES - UNIVERSITES,ETIENNE GRAPPE,3.1843168156,ALL,02H00-06H45,ALL,tram-d
NEYRPIC - BELLEDONNE,ETIENNE GRAPPE,0.9950990049,ALL,02H00-06H45,ALL,tram-d
MAISON COMMUNALE,ETIENNE GRAPPE,8.9558910441,ALL,02H00-06H45,ALL,tram-d
EDOUARD VAILLANT,ETIENNE GRAPPE,4.4779455221,ALL,02H00-06H45,ALL,tram-d
PARC JO BLANCHON,ETIENNE GRAPPE,0.0,ALL,02H00-06H45,ALL,tram-d
NEYRPIC - BELLEDONNE,LES TAILLEES - UNIVERSITES,2.7862778568,ALL,02H00-06H45,ALL,tram-d
MAISON COMMUNALE,LES TAILLEES - UNIVERSITES,2.7862778568,ALL,02H00-06H45,ALL,tram-d
EDOUARD VAILLANT,LES TAILLEES - UNIVERSITES,3.980396938,ALL,02H00-06H45,ALL,tram-d
PARC JO BLANCHON,LES TAILLEES - UNIVERSITES,3.980396938,ALL,02H00-06H45,ALL,tram-d
ETIENNE GRAPPE,LES TAILLEES - UNIVERSITES,4.9754961725,ALL,02H00-06H45,ALL,tram-d
LES TAILLEES - UNIVERSITES,NEYRPIC - BELLEDONNE,4.7764752234,ALL,02H00-06H45,ALL,tram-d
MAISON COMMUNALE,NEYRPIC - BELLEDONNE,1.3931389284,ALL,02H00-06H45,ALL,tram-d
EDOUARD VAILLANT,NEYRPIC - BELLEDONNE,0.0,ALL,02H00-06H45,ALL,tram-d
PARC JO BLANCHON,NEYRPIC - BELLEDONNE,1.990198469,ALL,02H00-06H45,ALL,tram-d
ETIENNE GRAPPE,NEYRPIC - BELLEDONNE,2.9852977035,ALL,02H00-06H45,ALL,tram-d
LES TAILLEES - UNIVERSITES,MAISON COMMUNALE,0.0,ALL,02H00-06H45,ALL,tram-d
NEYRPIC - BELLEDONNE,MAISON COMMUNALE,0.9950990049,ALL,02H00-06H45,ALL,tram-d
EDOUARD VAILLANT,MAISON COMMUNALE,0.0,ALL,02H00-06H45,ALL,tram-d
PARC JO BLANCHON,MAISON COMMUNALE,0.0,ALL,02H00-06H45,ALL,tram-d
ETIENNE GRAPPE,MAISON COMMUNALE,0.9950992345,ALL,02H00-06H45,ALL,tram-d
