up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
PONT ROUGE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
POMPIDOU,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
LA CHIEZE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
LA RONZY,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
POSTE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
FURONNIERES,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
GARLETTES,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
PRE NOUVEL,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
L'ARGOUD,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
PLACE DU VILLAGE (SEYSSINS),CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
ANCIENNE GARE,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
BEAUVOIR,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
L'AGNEAU,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
PARC FRANCOIS MITTERRAND,CIMETIERE DES GARLETTES,0.0,ALL,ALL,ALL,ligne-21
LE PRISME,CIMETIERE DES GARLETTES,7.1333023188,ALL,ALL,ALL,ligne-21
PONT ROUGE,CLAIX MAIRIE,61.488999079099976,ALL,ALL,ALL,ligne-21
POMPIDOU,CLAIX MAIRIE,20.7679640233,ALL,ALL,ALL,ligne-21
LA CHIEZE,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
LA RONZY,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
POSTE,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
FURONNIERES,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,CLAIX MAIRIE,0.98571,ALL,ALL,ALL,ligne-21
CIMETIERE DES GARLETTES,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
GARLETTES,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
PRE NOUVEL,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
L'ARGOUD,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
PLACE DU VILLAGE (SEYSSINS),CLAIX MAIRIE,0.98571,ALL,ALL,ALL,ligne-21
ANCIENNE GARE,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
BEAUVOIR,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
L'AGNEAU,CLAIX MAIRIE,0.0,ALL,ALL,ALL,ligne-21
PARC FRANCOIS MITTERRAND,CLAIX MAIRIE,3.9850334154000002,ALL,ALL,ALL,ligne-21
LE PRISME,CLAIX MAIRIE,69.17582722030004,ALL,ALL,ALL,ligne-21
PONT ROUGE,LA CROIX ROLLAND,4.5786791424,ALL,ALL,ALL,ligne-21
POMPIDOU,LA CROIX ROLLAND,4.941317864999999,ALL,ALL,ALL,ligne-21
LA CHIEZE,LA CROIX ROLLAND,4.2960726392,ALL,ALL,ALL,ligne-21
LA RONZY,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
POSTE,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
FURONNIERES,LA CROIX ROLLAND,2.7424526939,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
CIMETIERE DES GARLETTES,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
GARLETTES,LA CROIX ROLLAND,0.0,ALL,ALL,ALL,ligne-21
