up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
MAUPERTUIS (MEYLAN),LE BRET,78.04848987929999,ALL,ALL,ALL,ligne-c1
LES BEALIERES,LE BRET,32.139710976399996,ALL,ALL,ALL,ligne-c1
MALACHER,LE BRET,17.1670989301,ALL,ALL,ALL,ligne-c1
GRANIER,LE BRET,1.9029487117,ALL,ALL,ALL,ligne-c1
MEYLAN MAIRIE,LE BRET,2.708697931,ALL,ALL,ALL,ligne-c1
PISCINE DES BUCLOS,LE BRET,3.0906937931,ALL,ALL,ALL,ligne-c1
LA REVIREE,LE BRET,3.6135947324,ALL,ALL,ALL,ligne-c1
AIGUINARDS-HEXAGONE,LE BRET,5.420392098700001,ALL,ALL,ALL,ligne-c1
PLAINE FLEURIE,LE BRET,20.1986469784,ALL,ALL,ALL,ligne-c1
CARRONNERIE - ILE D'AMOUR,LE BRET,0.0,ALL,ALL,ALL,ligne-c1
SABLONS,LE BRET,3.8850182384,ALL,ALL,ALL,ligne-c1
HOTEL DE VILLE (GRENOBLE),LE BRET,32.211022278099996,ALL,ALL,ALL,ligne-c1
CHAVANT,LE BRET,65.63007679290003,ALL,ALL,ALL,ligne-c1
DOCTEUR MARTIN,LE BRET,11.3143369296,ALL,ALL,ALL,ligne-c1
VICTOR HUGO,LE BRET,51.327773028100005,ALL,ALL,ALL,ligne-c1
DOCTEUR MAZET,LE BRET,3.4402075708,ALL,ALL,ALL,ligne-c1
FELIX VIALLET,LE BRET,12.312004978300001,ALL,ALL,ALL,ligne-c1
GARES,LE BRET,22.008752131199998,ALL,ALL,ALL,ligne-c1
EMILE GUEYMARD,LE BRET,0.0,ALL,ALL,ALL,ligne-c1
ARAGO,LE BRET,0.0,ALL,ALL,ALL,ligne-c1
CITE JEAN MACE,LE BRET,0.0,ALL,ALL,ALL,ligne-c1
MAUPERTUIS (MEYLAN),DOCTEUR MAZET,6.9967714795,ALL,ALL,ALL,ligne-c1
LES BEALIERES,DOCTEUR MAZET,14.747588220099999,ALL,ALL,ALL,ligne-c1
MALACHER,DOCTEUR MAZET,0.0,ALL,ALL,ALL,ligne-c1
GRANIER,DOCTEUR MAZET,1.712036,ALL,ALL,ALL,ligne-c1
