up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
VICTOR HUGO,FOCH - FERRIE,75.56633462029994,ALL,ALL,ALL,ligne-c3
GAMBETTA,FOCH - FERRIE,61.9001300486,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,FOCH - FERRIE,15.984992207800001,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,FOCH - FERRIE,7.2630444994,ALL,ALL,ALL,ligne-c3
CAPUCHE,FOCH - FERRIE,33.3155436692,ALL,ALL,ALL,ligne-c3
EUGENE SUE,FOCH - FERRIE,68.3900116319,ALL,ALL,ALL,ligne-c3
CLOS D'OR,FOCH - FERRIE,33.17270557039999,ALL,ALL,ALL,ligne-c3
VIGNY,FOCH - FERRIE,57.9744742865,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,FOCH - FERRIE,127.30580076910002,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,FOCH - FERRIE,57.247810683400004,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,FOCH - FERRIE,70.25184208500002,ALL,ALL,ALL,ligne-c3
GRAND'PLACE,FOCH - FERRIE,163.61072931950014,ALL,ALL,ALL,ligne-c3
POLESUD - ALPEXPO,FOCH - FERRIE,44.92748397830002,ALL,ALL,ALL,ligne-c3
ALPEXPO,FOCH - FERRIE,17.093807314699998,ALL,ALL,ALL,ligne-c3
FRANCOIS QUESNAY,FOCH - FERRIE,46.74220126850001,ALL,ALL,ALL,ligne-c3
HOPITAL SUD,FOCH - FERRIE,23.6156154124,ALL,ALL,ALL,ligne-c3
ECOLES HOSPITALIERES,FOCH - FERRIE,26.340184804000007,ALL,ALL,ALL,ligne-c3
LE CHATEAU (ECHIROLLES),FOCH - FERRIE,7.6706333981000006,ALL,ALL,ALL,ligne-c3
GUY MOQUET,FOCH - FERRIE,4.5412443788,ALL,ALL,ALL,ligne-c3
PAUL LANGEVIN,FOCH - FERRIE,2.2706221894,ALL,ALL,ALL,ligne-c3
LE VILLAGE (ECHIROLLES),FOCH - FERRIE,9.7363373005,ALL,ALL,ALL,ligne-c3
CENTRE DU GRAPHISME,FOCH - FERRIE,4.3482700646,ALL,ALL,ALL,ligne-c3
VICTOR HUGO,LE VILLAGE (ECHIROLLES),5.3441560937000006,ALL,ALL,ALL,ligne-c3
GAMBETTA,LE VILLAGE (ECHIROLLES),5.1213638544,ALL,ALL,ALL,ligne-c3
CHAMPIONNET,LE VILLAGE (ECHIROLLES),11.4804429671,ALL,ALL,ALL,ligne-c3
MARCEAU - JARDIN DES VALLONS,LE VILLAGE (ECHIROLLES),6.1377642039,ALL,ALL,ALL,ligne-c3
FOCH - FERRIE,LE VILLAGE (ECHIROLLES),18.248097967899998,ALL,ALL,ALL,ligne-c3
CAPUCHE,LE VILLAGE (ECHIROLLES),0.0,ALL,ALL,ALL,ligne-c3
EUGENE SUE,LE VILLAGE (ECHIROLLES),10.779492876700001,ALL,ALL,ALL,ligne-c3
CLOS D'OR,LE VILLAGE (ECHIROLLES),0.0,ALL,ALL,ALL,ligne-c3
VIGNY,LE VILLAGE (ECHIROLLES),3.4721636849,ALL,ALL,ALL,ligne-c3
VILLAGE OLYMPIQUE,LE VILLAGE (ECHIROLLES),0.0,ALL,ALL,ALL,ligne-c3
CHRISTOPHE TURC,LE VILLAGE (ECHIROLLES),0.0,ALL,ALL,ALL,ligne-c3
EDMOND ESMONIN,LE VILLAGE (ECHIROLLES),2.3037969703,ALL,ALL,ALL,ligne-c3
