up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
SAINT-EGREVE GARE,MURET,1.1425013402,ALL,ALL,ALL,ligne-22
LA BIOLLE - GARE,MURET,1.2075189078,ALL,ALL,ALL,ligne-22
CAP 38,MURET,0.0,ALL,ALL,ALL,ligne-22
KARBEN,MURET,1.0644422424,ALL,ALL,ALL,ligne-22
ROCHEPLEINE,MURET,1.2075189078,ALL,ALL,ALL,ligne-22
ROCHER D'ESCALADE,MURET,0.0,ALL,ALL,ALL,ligne-22
GAVANIERE,MURET,4.2750598329,ALL,ALL,ALL,ligne-22
EGLISE (ST EGREVE),MURET,4.2607887875,ALL,ALL,ALL,ligne-22
LA MONTA,MURET,10.511551620799999,ALL,ALL,ALL,ligne-22
CUVILLEUX,MURET,0.0,ALL,ALL,ALL,ligne-22
VISANCOURT,MURET,0.8451759375,ALL,ALL,ALL,ligne-22
PONT DE VENCE,MURET,1.1610497727,ALL,ALL,ALL,ligne-22
MOUTONNEES,MURET,2.02842225,ALL,ALL,ALL,ligne-22
FIANCEY - PREDIEU,MURET,0.0,ALL,ALL,ALL,ligne-22
BELLEDONNE,MURET,13.7477628509,ALL,ALL,ALL,ligne-22
LES GLAIRAUX,MURET,4.046131238,ALL,ALL,ALL,ligne-22
CAP DES H',MURET,2.794018738,ALL,ALL,ALL,ligne-22
LOUIS GAGNIERE,MURET,1.502535,ALL,ALL,ALL,ligne-22
PRESQU'ILE,MURET,18.267899406799994,ALL,ALL,ALL,ligne-22
SAINT-EGREVE GARE,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
LA BIOLLE - GARE,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
CAP 38,GAVANIERE,1.2878871429,ALL,ALL,ALL,ligne-22
KARBEN,GAVANIERE,8.9225850649,ALL,ALL,ALL,ligne-22
ROCHEPLEINE,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
ROCHER D'ESCALADE,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
EGLISE (ST EGREVE),GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
LA MONTA,GAVANIERE,3.9936064949,ALL,ALL,ALL,ligne-22
CUVILLEUX,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
VISANCOURT,GAVANIERE,10.9495308965,ALL,ALL,ALL,ligne-22
PONT DE VENCE,GAVANIERE,20.3713988967,ALL,ALL,ALL,ligne-22
MOUTONNEES,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
MURET,GAVANIERE,14.150392487900001,ALL,ALL,ALL,ligne-22
FIANCEY - PREDIEU,GAVANIERE,4.1715305125,ALL,ALL,ALL,ligne-22
BELLEDONNE,GAVANIERE,3.2961722439,ALL,ALL,ALL,ligne-22
LES GLAIRAUX,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
CAP DES H',GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
LOUIS GAGNIERE,GAVANIERE,0.0,ALL,ALL,ALL,ligne-22
PRESQU'ILE,GAVANIERE,13.7867362575,ALL,ALL,ALL,ligne-22
SAINT-EGREVE GARE,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
LA BIOLLE - GARE,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
CAP 38,BELLEDONNE,5.403674339599999,ALL,ALL,ALL,ligne-22
KARBEN,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
ROCHEPLEINE,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
ROCHER D'ESCALADE,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
GAVANIERE,BELLEDONNE,1.3968521101,ALL,ALL,ALL,ligne-22
EGLISE (ST EGREVE),BELLEDONNE,1.0229677288,ALL,ALL,ALL,ligne-22
LA MONTA,BELLEDONNE,0.0,ALL,ALL,ALL,ligne-22
