cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
L'OVALIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
LE GUA,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
TREFFORINE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
PRE FLEURY,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
LES PIES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
LA POYA,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
RUE DES ALPES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
MARAT,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
LES ECRINS,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
JULES GUESDE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
RUE PASTEUR,Ligne C6,7.7438409389,up,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,Ligne C6,3.2696771428,up,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,Ligne C6,22.3351296001,up,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,Ligne C6,1.7563733333,up,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
MURAILLES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
BELVEDERE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),Ligne C6,0.0,up,ALL,ALL,ALL,ligne-19
L'OVALIE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
LE GUA,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
TREFFORINE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
PRE FLEURY,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
LES PIES,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
LA POYA,Tram A,199.63244429509984,up,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
RUE DES ALPES,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
MARAT,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
LES ECRINS,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
JULES GUESDE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
RUE PASTEUR,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,Tram A,168.51914141039975,up,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
MURAILLES,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
BELVEDERE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,Tram A,0.0,up,ALL,ALL,ALL,ligne-19
