cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
PRESQU'ILE,Ligne 22,19.14722,up,ALL,ALL,ALL,ligne-c6
MARTYRS - RESISTANCE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
CHAMECHAUDE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LA SURE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
SAINT-EYNARD (FONTAINE),Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
CHARMETTES,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
RUE PASTEUR,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
CURIE - VERCORS,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LOUIS MAISONNAT,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
ARISTIDE BERGES,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LES ILES,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
SEYSSINET-PARISET HOTEL DE VILLE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
L'ARCHE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
BEAU SITE (SEYSSINET),Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LA PLAINE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
GRAND PRE - CENTRE SUD,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
TUILERIE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LE PRISME,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
SEYSSINS RONDEAU,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LE RONDEAU,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
STADE LESDIGUIERES,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
VERLAINE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
MAISON DES ANCIENS,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
EDMOND ESMONIN,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
GRAND'PLACE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
RAYMOND CHANAS,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
COLLEGE DES SAULES,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
GENERAL DE GAULLE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LA CHATELIERE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
LE MARAIS,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
CHOPIN,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
ZELLA MELHIS,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
8 MAI 1945,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
ETIENNE GRAPPE,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
PABLO NERUDA,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
HENRI WALLON,Ligne 22,0.0,up,ALL,ALL,ALL,ligne-c6
PRESQU'ILE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c6
MARTYRS - RESISTANCE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c6
CHAMECHAUDE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c6
