cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
PALAIS DE JUSTICE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
ESCLANGON,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
CEMOI,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
VALLIER - CATANE,Tram C,152.2675935831001,up,ALL,ALL,ALL,ligne-c5
RHIN ET DANUBE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
DOCTEUR SCHWEITZER,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
LYS ROUGE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
HENRI DUNANT,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
ALLIES,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
MARCHE D'INTERET NATIONAL,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
STALINGRAD-ALLIES,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
FLAUBERT - CLOS D'OR,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
MALHERBE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
LOUIS JOUVET,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
TEISSEIRE (GRENOBLE),Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
PAUL COCAT,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
ANDRE ARGOUGES,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
SAINT-AUGUSTIN,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
BON PASTEUR,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
EDOUARD VAILLANT,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
PIERRE SEMARD,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
NEYRPIC - BELLEDONNE,Tram C,55.76594547709999,up,ALL,ALL,ALL,ligne-c5
CLINIQUE BELLEDONNE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
CHAMP ROMAN,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
PROMOTION SOCIALE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
SCIENCES SOCIALES,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
BIBLIOTHEQUES UNIVERSITAIRES,Tram C,14.4821381669,up,ALL,ALL,ALL,ligne-c5
UNIVERSITES - BIOLOGIE,Tram C,0.0,up,ALL,ALL,ALL,ligne-c5
PALAIS DE JUSTICE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
ESCLANGON,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
CEMOI,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
VALLIER - CATANE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
RHIN ET DANUBE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
DOCTEUR SCHWEITZER,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
LYS ROUGE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
HENRI DUNANT,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
ALLIES,Ligne 17,23.712412818900006,up,ALL,ALL,ALL,ligne-c5
MARCHE D'INTERET NATIONAL,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
STALINGRAD-ALLIES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
FLAUBERT - CLOS D'OR,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
MALHERBE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
LOUIS JOUVET,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
TEISSEIRE (GRENOBLE),Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
PAUL COCAT,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
ANDRE ARGOUGES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
SAINT-AUGUSTIN,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
BON PASTEUR,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
EDOUARD VAILLANT,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
PIERRE SEMARD,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
NEYRPIC - BELLEDONNE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
CLINIQUE BELLEDONNE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
CHAMP ROMAN,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
PROMOTION SOCIALE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
SCIENCES SOCIALES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
BIBLIOTHEQUES UNIVERSITAIRES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
UNIVERSITES - BIOLOGIE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-c5
PALAIS DE JUSTICE,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
ESCLANGON,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
BERRIAT-LE MAGASIN,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
CEMOI,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
VALLIER - CATANE,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
RHIN ET DANUBE,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
DOCTEUR SCHWEITZER,Ligne 12,41.2912382853,up,ALL,ALL,ALL,ligne-c5
LYS ROUGE,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
HENRI DUNANT,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
ALLIES,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
MARCHE D'INTERET NATIONAL,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
STALINGRAD-ALLIES,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
FLAUBERT - CLOS D'OR,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
MALHERBE,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
LOUIS JOUVET,Ligne 12,0.0,up,ALL,ALL,ALL,ligne-c5
