cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
VERDUN - PREFECTURE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
BIR HAKEIM,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
CROIX ROUGE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
GAY,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
CITE LABEYE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
PORTAIL ROUGE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
COLI,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
ELSA TRIOLET,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
GALOCHERE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
ANGUISSES,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
ROSERAIE,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
EDELWEISS,Ligne 6070,0.0,up,ALL,ALL,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),Ligne 6070,1.0997590909,up,ALL,ALL,ALL,ligne-14
VERDUN - PREFECTURE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
BIR HAKEIM,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,Tram C,51.747565654800006,up,ALL,ALL,ALL,ligne-14
CROIX ROUGE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
GAY,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
CITE LABEYE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
PORTAIL ROUGE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
COLI,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
ELSA TRIOLET,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
GALOCHERE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
ANGUISSES,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
ROSERAIE,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
EDELWEISS,Tram C,0.0,up,ALL,ALL,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),Tram C,0.0,up,ALL,ALL,ALL,ligne-14
VERDUN - PREFECTURE,Ligne 16,11.191857778100001,up,ALL,ALL,ALL,ligne-14
BIR HAKEIM,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
CROIX ROUGE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
GAY,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
CITE LABEYE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
PORTAIL ROUGE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
COLI,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
ELSA TRIOLET,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
GALOCHERE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
ANGUISSES,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
ROSERAIE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
EDELWEISS,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
GIERES GARE - UNIVERSITES (TRAM),Ligne 16,0.0,up,ALL,ALL,ALL,ligne-14
VERDUN - PREFECTURE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
BIR HAKEIM,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
FLANDRIN - VALMY,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
CROIX ROUGE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
GAY,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
MAISON COMMUNALE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
CITE LABEYE,Ligne non précisée,0.0,up,ALL,ALL,ALL,ligne-14
