cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
LYCEE DU GRESIVAUDAN,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LES MURIERS,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
HAUT - MEYLAN,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LA FOY,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
BUCLOS,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LES OISEAUX,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
EYGALA,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
MONTFLEURY,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CORENC MAIRIE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CROIX DE MONTFLEURY,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
GRANDE TRONCHE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
JULES REY,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
BASTILLE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
PETITE TRONCHE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
SAINT-LAURENT,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
XAVIER JOUVIN,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
NOTRE-DAME - MUSEE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
HOTEL DE POLICE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
SAINT-ROCH,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
MUTUALITE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
VERDUN - PREFECTURE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
DOCTEUR MARTIN,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CHAMPOLLION,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CASERNE DE BONNE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
GUSTAVE RIVET,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
RUE DES DEPORTES,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CAPUCHE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
EUGENE SUE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
CLOS D'OR,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
MASSENET,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
BEAUVERT,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
VERLAINE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LES ESSARTS,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
MONMOUSSEAU,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
GRUGLIASCO,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LES GLIERES,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
PAUL HEROULT,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
MARIE CURIE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
AUGUSTE DELAUNE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
AUGUSTE FERRIER,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
BAYARD,Ligne C2,109.41217982919996,up,ALL,ALL,ALL,ligne-16
COLONEL MANHES,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
DANIELLE CASANOVA,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
VASSIEUX,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LA LUIRE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-16
LYCEE DU GRESIVAUDAN,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LES MURIERS,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
HAUT - MEYLAN,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LA FOY,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
BUCLOS,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LES OISEAUX,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
EYGALA,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
MONTFLEURY,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
CORENC MAIRIE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
CROIX DE MONTFLEURY,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
GRANDE TRONCHE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
JULES REY,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
BASTILLE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
PETITE TRONCHE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
SAINT-LAURENT,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
XAVIER JOUVIN,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
NOTRE-DAME - MUSEE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
HOTEL DE POLICE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
SAINT-ROCH,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
MUTUALITE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
VERDUN - PREFECTURE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
DOCTEUR MARTIN,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
CHAMPOLLION,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
CASERNE DE BONNE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
GUSTAVE RIVET,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
RUE DES DEPORTES,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
CAPUCHE,Ligne C3,4.3941066077,up,ALL,ALL,ALL,ligne-16
EUGENE SUE,Ligne C3,38.507105621,up,ALL,ALL,ALL,ligne-16
CLOS D'OR,Ligne C3,7.074745582,up,ALL,ALL,ALL,ligne-16
MASSENET,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
BEAUVERT,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
VERLAINE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LES ESSARTS,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
MONMOUSSEAU,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
GRUGLIASCO,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LES GLIERES,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
PAUL HEROULT,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
MARIE CURIE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
AUGUSTE DELAUNE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
AUGUSTE FERRIER,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
BAYARD,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
COLONEL MANHES,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
DANIELLE CASANOVA,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
VASSIEUX,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LA LUIRE,Ligne C3,0.0,up,ALL,ALL,ALL,ligne-16
LYCEE DU GRESIVAUDAN,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-16
LES MURIERS,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-16
HAUT - MEYLAN,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-16
LA FOY,Ligne 64,0.0,up,ALL,ALL,ALL,ligne-16
