cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
LE VERDERET,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
LES JAVAUX,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
ODYSSEE,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
JEAN RACINE,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
PONSARD,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
BAJATIERE,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
MALLIFAUD,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
DRIANT,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
CHAVANT,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,Ligne 40,0.0,up,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,Ligne 40,2.6816057143,up,ALL,ALL,ALL,ligne-c4
LE VERDERET,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
LES JAVAUX,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
ODYSSEE,Ligne 11,106.42116855600004,up,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
JEAN RACINE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
PONSARD,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
BAJATIERE,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
MALLIFAUD,Ligne 11,0.0,up,ALL,ALL,ALL,ligne-c4
