cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
SEYSSINET-PARISET HOTEL DE VILLE,Tram C,339.76931475059865,up,ALL,ALL,ALL,ligne-20
LES ILES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
BERGES - VERCORS,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
KARL MARX,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
JEAN PREVOST,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
ANCIENNE MAIRIE (FONTAINE),Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LA POYA,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LES PIES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
PRE FLEURY,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
TREFFORINE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
PLACE DE LA LIBERATION,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
CHATEAU,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LA ROLLANDIERE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LES ENGENIERES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
PRAPARIS USINE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
PRAPARIS - LES ROSES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LES CHAULNES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
SAINT-JEAN,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
BASCULE (NOYAREY),Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LE RUISSET,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LA CUCHE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
ILES CORDEES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
PERRIERES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LES ECHALIERES,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
LA RIVE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
EGLISE (VEUREY-VOROIZE),Tram C,0.0,up,ALL,ALL,ALL,ligne-20
VEUREY-VOROIZE MAIRIE,Tram C,0.0,up,ALL,ALL,ALL,ligne-20
SEYSSINET-PARISET HOTEL DE VILLE,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
LES ILES,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
BERGES - VERCORS,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
KARL MARX,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
JEAN PREVOST,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
ANCIENNE MAIRIE (FONTAINE),Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
LA POYA,Ligne 19,11.4024226407,up,ALL,ALL,ALL,ligne-20
LES PIES,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
PRE FLEURY,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
TREFFORINE,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
PLACE DE LA LIBERATION,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
CHATEAU,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
LA ROLLANDIERE,Ligne 19,0.0,up,ALL,ALL,ALL,ligne-20
