cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
COMBOIRE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
DRAC,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
MUSEE GEO CHARLES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
COLONEL MANHES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
BAYARD,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
QUINZAINE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
GRUGLIASCO,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
FERNAND PELLOUTIER,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
LA RAMPE - CENTRE-VILLE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
ANTOINE POLOTTI,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
LE CHATEAU (ECHIROLLES),Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
ECOLES HOSPITALIERES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
HOPITAL SUD,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
FRANCOIS QUESNAY,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
LES RUIRES-BOETIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
ODYSSEE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP FILA,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
CENTRE SOCIO-CULTUREL,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
LE CARINA,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
SAINT-MARTIN-D'HERES VILLAGE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
MAISONS BLANCHES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
CROIX DU PATRE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
POTIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
ETIENNE GRAPPE,Ligne C6,65.64249118690005,up,ALL,ALL,ALL,ligne-11
PABLO NERUDA,Ligne C6,2.3275220339,up,ALL,ALL,ALL,ligne-11
HENRI WALLON,Ligne C6,17.279351635999998,up,ALL,ALL,ALL,ligne-11
ROCHEPLANE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
PIERRE COURTADE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
COLI,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP ROMAN,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
PROMOTION SOCIALE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
SCIENCES SOCIALES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
BIBLIOTHEQUES UNIVERSITAIRES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - BIOLOGIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
EPICEA,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - IUT - UFRAPS,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-11
COMBOIRE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
DRAC,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
MUSEE GEO CHARLES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
COLONEL MANHES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
BAYARD,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
QUINZAINE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
GRUGLIASCO,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
FERNAND PELLOUTIER,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
LA RAMPE - CENTRE-VILLE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
ANTOINE POLOTTI,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
LE CHATEAU (ECHIROLLES),Tram D,0.0,up,ALL,ALL,ALL,ligne-11
ECOLES HOSPITALIERES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
HOPITAL SUD,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
FRANCOIS QUESNAY,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
LES RUIRES-BOETIE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
ODYSSEE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP FILA,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
CENTRE SOCIO-CULTUREL,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
LE CARINA,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
SAINT-MARTIN-D'HERES VILLAGE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
MAISONS BLANCHES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
CROIX DU PATRE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
POTIE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
ETIENNE GRAPPE,Tram D,66.7622185531,up,ALL,ALL,ALL,ligne-11
PABLO NERUDA,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
HENRI WALLON,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
ROCHEPLANE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
PIERRE COURTADE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
COLI,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP ROMAN,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
PROMOTION SOCIALE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
SCIENCES SOCIALES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
BIBLIOTHEQUES UNIVERSITAIRES,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - BIOLOGIE,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
EPICEA,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - IUT - UFRAPS,Tram D,0.0,up,ALL,ALL,ALL,ligne-11
COMBOIRE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
DRAC,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
MUSEE GEO CHARLES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
COLONEL MANHES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
BAYARD,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
QUINZAINE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
GRUGLIASCO,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
FERNAND PELLOUTIER,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
LA RAMPE - CENTRE-VILLE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
ANTOINE POLOTTI,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
LE CHATEAU (ECHIROLLES),Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
ECOLES HOSPITALIERES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
HOPITAL SUD,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
FRANCOIS QUESNAY,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
LES RUIRES-BOETIE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
ODYSSEE,Ligne C4,68.4632500562,up,ALL,ALL,ALL,ligne-11
CHAMP FILA,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
CENTRE SOCIO-CULTUREL,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
LE CARINA,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
SAINT-MARTIN-D'HERES VILLAGE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
MAISONS BLANCHES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
CROIX DU PATRE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
POTIE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
ETIENNE GRAPPE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
PABLO NERUDA,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
HENRI WALLON,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
ROCHEPLANE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
PIERRE COURTADE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
COLI,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP ROMAN,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
PROMOTION SOCIALE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
SCIENCES SOCIALES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
BIBLIOTHEQUES UNIVERSITAIRES,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - BIOLOGIE,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
EPICEA,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - IUT - UFRAPS,Ligne C4,0.0,up,ALL,ALL,ALL,ligne-11
COMBOIRE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
DRAC,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
MUSEE GEO CHARLES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
COLONEL MANHES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
BAYARD,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
QUINZAINE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
GRUGLIASCO,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
FERNAND PELLOUTIER,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
LA RAMPE - CENTRE-VILLE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
ANTOINE POLOTTI,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
LE CHATEAU (ECHIROLLES),Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
ECOLES HOSPITALIERES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
HOPITAL SUD,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
FRANCOIS QUESNAY,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
LES RUIRES-BOETIE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
ODYSSEE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
CHAMP FILA,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
CENTRE SOCIO-CULTUREL,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
LE CARINA,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
SAINT-MARTIN-D'HERES VILLAGE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
MAISONS BLANCHES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
CROIX DU PATRE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
POTIE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
ETIENNE GRAPPE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
PABLO NERUDA,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
HENRI WALLON,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
ROCHEPLANE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
PIERRE COURTADE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
COLI,Ligne 14,31.2325924183,up,ALL,ALL,ALL,ligne-11
CHAMP ROMAN,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
PROMOTION SOCIALE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
SCIENCES SOCIALES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
BIBLIOTHEQUES UNIVERSITAIRES,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - BIOLOGIE,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
EPICEA,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
UNIVERSITES - IUT - UFRAPS,Ligne 14,0.0,up,ALL,ALL,ALL,ligne-11
COMBOIRE,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-11
DRAC,Ligne 16,0.0,up,ALL,ALL,ALL,ligne-11
