cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
PONT ROUGE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
POMPIDOU,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
LA CHIEZE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
LA RONZY,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
POSTE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
FURONNIERES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
CIMETIERE DES GARLETTES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
GARLETTES,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
PRE NOUVEL,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
L'ARGOUD,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
PLACE DU VILLAGE (SEYSSINS),Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
ANCIENNE GARE,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
BEAUVOIR,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
L'AGNEAU,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
PARC FRANCOIS MITTERRAND,Ligne C6,0.0,up,ALL,ALL,ALL,ligne-21
LE PRISME,Ligne C6,50.5997216798,up,ALL,ALL,ALL,ligne-21
PONT ROUGE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
POMPIDOU,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
LA CHIEZE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
LA RONZY,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
POSTE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
FURONNIERES,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
CIMETIERE DES GARLETTES,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
GARLETTES,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
PRE NOUVEL,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
L'ARGOUD,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
PLACE DU VILLAGE (SEYSSINS),Tram C,0.0,up,ALL,ALL,ALL,ligne-21
ANCIENNE GARE,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
BEAUVOIR,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
L'AGNEAU,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
PARC FRANCOIS MITTERRAND,Tram C,0.0,up,ALL,ALL,ALL,ligne-21
LE PRISME,Tram C,228.7692472301,up,ALL,ALL,ALL,ligne-21
PONT ROUGE,Ligne 17,10.0381214267,up,ALL,ALL,ALL,ligne-21
POMPIDOU,Ligne 17,3.4120730768999996,up,ALL,ALL,ALL,ligne-21
LA CHIEZE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
LA RONZY,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
POSTE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
FURONNIERES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
CIMETIERE DES GARLETTES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
GARLETTES,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
PRE NOUVEL,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
L'ARGOUD,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
PLACE DU VILLAGE (SEYSSINS),Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
ANCIENNE GARE,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
BEAUVOIR,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
L'AGNEAU,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
PARC FRANCOIS MITTERRAND,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
LE PRISME,Ligne 17,0.0,up,ALL,ALL,ALL,ligne-21
PONT ROUGE,Ligne C2,68.93513200719993,up,ALL,ALL,ALL,ligne-21
POMPIDOU,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
LA CHIEZE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
LA RONZY,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
CLAIX MAIRIE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
POSTE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
FURONNIERES,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
LA CROIX ROLLAND,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
COL DE COMBOIRE,Ligne C2,0.0,up,ALL,ALL,ALL,ligne-21
