cluster_name,target_line,passengers_count,up_down,line_direction,timelaps,goal,line
LES SAILLANTS,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
PONT DE GENEVREY,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
L'USINE NORD,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LE RIF,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LA GRANGE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LE CHALET,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LA CIME DU BOURG,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LA VALONNE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LE MASSEGU,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
VIF GENDARMERIE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
VIF MAIRIE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
URIOL,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LES GARCINS,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
PELISSIERE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
REPUBLIQUE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
L'ORIEL,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
ROND-POINT DE L'EUROPE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
SAINT-ANGE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LE ROCHEFORT,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
PRE DE L'ORME,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
CARRIERE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
PONT ROUGE,Ligne 21,4.3755236905,up,ALL,ALL,ALL,ligne-17
POMPIDOU,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LE RONDEAU,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
STADE LESDIGUIERES,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LOUISE MICHEL,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
ALLIES,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
VALLIER - LIBERATION,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
FOCH - FERRIE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
CASERNE DE BONNE,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
VICTOR HUGO,Ligne 21,0.0,up,ALL,ALL,ALL,ligne-17
LES SAILLANTS,Ligne EXPRESS 2,0.0,up,ALL,ALL,ALL,ligne-17
PONT DE GENEVREY,Ligne EXPRESS 2,0.0,up,ALL,ALL,ALL,ligne-17
L'USINE NORD,Ligne EXPRESS 2,0.0,up,ALL,ALL,ALL,ligne-17
LE RIF,Ligne EXPRESS 2,0.0,up,ALL,ALL,ALL,ligne-17
LA GRANGE,Ligne EXPRESS 2,0.0,up,ALL,ALL,ALL,ligne-17
