service_id,date,exception_type
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20211214,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20211216,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20211217,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220103,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220104,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220106,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220107,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220110,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220111,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220113,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220114,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220117,1
12*45-MFHLV10c_ST0_10_HI2122,20220107,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220118,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220120,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220121,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220124,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220125,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220127,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220128,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220131,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220201,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220203,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220204,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220207,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220208,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220210,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220211,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20211215,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220105,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220112,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220119,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220126,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220202,1
12345-MEHLV08_ST8_8_HI2122-MEHLV09_ST8_9_HI2122-MEHW08_ST11_8_HI2122-MEHW09_ST11_9_HI2122,20220209,1
1234567-MGHS01_ST5_1_HI2122,20211227,1
1234567-MGHS01_ST5_1_HI2122,20211228,1
1234567-MGHS01_ST5_1_HI2122,20211229,1
1234567-MGHS01_ST5_1_HI2122,20211230,1
1234567-MGHS01_ST5_1_HI2122,20220108,1
1234567-MGHS01_ST5_1_HI2122,20220115,1
1234567-MGHS01_ST5_1_HI2122,20220122,1
1234567-MGHS01_ST5_1_HI2122,20220129,1
1234567-MGHS01_ST5_1_HI2122,20220205,1
1234567-MGHS01_ST5_1_HI2122,20220212,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211209,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211210,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211213,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211214,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211216,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211217,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220103,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220104,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220106,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220107,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220110,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220111,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220113,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220114,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220117,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220118,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220120,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220121,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220124,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220125,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220127,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220128,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220131,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220201,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220203,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220204,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220207,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220208,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220210,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220211,1
